Date,regime_pdrc
2003-08-15,Crisis
2003-08-18,Crisis
2003-08-19,Crisis
2003-08-20,Crisis
2003-08-21,Crisis
2003-08-22,Crisis
2003-08-25,Stable
2003-08-26,Stable
2003-08-27,Stable
2003-08-28,Stable
2003-08-29,Stable
2003-09-02,Stable
2003-09-03,Illiquid
2003-09-04,Stable
2003-09-05,Stable
2003-09-08,Stable
2003-09-09,Stable
2003-09-10,Stable
2003-09-11,Stable
2003-09-12,Stable
2003-09-15,Stable
2003-09-16,Stable
2003-09-17,Stable
2003-09-18,Crisis
2003-09-19,Crisis
2003-09-22,Stable
2003-09-23,Stable
2003-09-24,Illiquid
2003-09-25,Illiquid
2003-09-26,Fragile
2003-09-29,Fragile
2003-09-30,Fragile
2003-10-01,Fragile
2003-10-02,RiskOn
2003-10-03,RiskOn
2003-10-06,RiskOn
2003-10-07,RiskOn
2003-10-08,Stable
2003-10-09,Crisis
2003-10-10,Crisis
2003-10-13,Crisis
2003-10-14,Crisis
2003-10-15,Crisis
2003-10-16,Crisis
2003-10-17,Crisis
2003-10-20,Crisis
2003-10-21,Crisis
2003-10-22,Stable
2003-10-23,Stable
2003-10-24,Stable
2003-10-27,Stable
2003-10-28,Stable
2003-10-29,Stable
2003-10-30,Stable
2003-10-31,Stable
2003-11-03,Stable
2003-11-04,Stable
2003-11-05,Stable
2003-11-06,Stable
2003-11-07,Stable
2003-11-10,Stable
2003-11-11,Stable
2003-11-12,Stable
2003-11-13,Stable
2003-11-14,Stable
2003-11-17,Stable
2003-11-18,Stable
2003-11-19,Stable
2003-11-20,Stable
2003-11-21,Stable
2003-11-24,Stable
2003-11-25,Stable
2003-11-26,Stable
2003-11-28,Stable
2003-12-01,Stable
2003-12-02,Stable
2003-12-03,Stable
2003-12-04,Stable
2003-12-05,Stable
2003-12-08,Stable
2003-12-09,Stable
2003-12-10,Stable
2003-12-11,Stable
2003-12-12,Stable
2003-12-15,Stable
2003-12-16,Crisis
2003-12-17,Crisis
2003-12-18,Stable
2003-12-19,Stable
2003-12-22,Stable
2003-12-23,Stable
2003-12-24,Stable
2003-12-26,Stable
2003-12-29,Stable
2003-12-30,Stable
2003-12-31,Illiquid
2004-01-02,Illiquid
2004-01-05,Stable
2004-01-06,Stable
2004-01-07,Stable
2004-01-08,Stable
2004-01-09,Stable
2004-01-12,Stable
2004-01-13,Illiquid
2004-01-14,Stable
2004-01-15,Stable
